cbsa_geoid,cbsa_name,industrial_diversity,economic_complexity_index,economic_complexity_percentile_score
29460,"Lakeland-Winter Haven, FL Metro Area",261,0.3360604233004717,70.05
37260,"Palatka, FL Micro Area",150,-0.3718057894040613,43.14
48680,"Wildwood-The Villages, FL Metro Area",153,0.4057118733881892,72.22
20060,"Douglas, GA Micro Area",130,-0.9651735907285999,14.16
33300,"Milledgeville, GA Micro Area",118,-0.2349336492406557,49.84
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",371,2.1614731036257355,96.43
22340,"Fitzgerald, GA Micro Area",85,-1.096701159399098,8.32
31420,"Macon-Bibb County, GA Metro Area",207,0.1276551818918843,63.46
15260,"Brunswick-St. Simons, GA Metro Area",189,0.7694842738595318,79.46
46660,"Valdosta, GA Metro Area",183,-0.5205841472556479,36.65
42340,"Savannah, GA Metro Area",225,0.7835164000715911,79.68
44340,"Statesboro, GA Micro Area",166,-0.3758993943203283,43.03
12260,"Augusta-Richmond County, GA-SC Metro Area",195,0.014963043666851543,60.22
28680,"Kingsland, GA Micro Area",107,0.20785817246123509,66.05
16860,"Chattanooga, TN-GA Metro Area",275,0.482630982777018,74.49
44900,"Summerville, GA Micro Area",84,-1.1227965174721435,8
12020,"Athens-Clarke County, GA Metro Area",168,0.924946628612405,81.51
34220,"Moultrie, GA Micro Area",123,-1.3390929760027839,2.92
18380,"Cordele, GA Micro Area",109,-1.2770478635452824,3.57
12460,"Bainbridge, GA Micro Area",122,-1.3469112609586393,2.7
10500,"Albany, GA Metro Area",179,-0.3173910622059162,46.27
40660,"Rome, GA Metro Area",149,-0.29258925993511914,47.03
15660,"Calhoun, GA Micro Area",109,-0.5479907597647832,34.49
45620,"Thomasville, GA Micro Area",169,-0.09862528148446581,55.46
18460,"Cornelia, GA Micro Area",130,-0.7829188582595416,22.7
23580,"Gainesville, GA Metro Area",196,0.40534903476839035,72.11
47580,"Warner Robins, GA Metro Area",118,0.0072677268458931086,60.11
27600,"Jefferson, GA Micro Area",124,-0.0028463836443065466,59.68
20140,"Dublin, GA Micro Area",152,-0.8464060714059591,19.24
25980,"Hinesville, GA Metro Area",66,-0.014590335387302426,59.03
47080,"Vidalia, GA Micro Area",128,-0.9470989774903799,14.7
19140,"Dalton, GA Metro Area",144,-0.32551170344049346,45.19
48180,"Waycross, GA Micro Area",144,-0.9688204746474038,13.95
16340,"Cedartown, GA Micro Area",121,-0.9246574395636035,15.89
11140,"Americus, GA Micro Area",133,-0.8411037731010295,19.46
45740,"Toccoa, GA Micro Area",118,-0.7329484576102863,25.19
45700,"Tifton, GA Micro Area",148,-0.6738262374575809,28.32
45580,"Thomaston, GA Micro Area",104,-0.6321461927636621,30.38
27700,"Jesup, GA Micro Area",118,-0.8894782823159589,17.3
25900,"Hilo-Kailua, HI Micro Area",202,1.6950285665749685,92.97
46520,"Urban Honolulu, HI Metro Area",208,2.5430417529491276,98.27
