commuting_zone_geoid,commuting_zone_name,industrial_diversity,economic_complexity_index,economic_complexity_percentile_score
408,"Parkersburg, WV-OH",237,-0.515955450167785,33.84
409,"Findlay, OH",218,-0.18591147919682904,47.62
410,"Portsmouth, OH-KY",165,-0.4465622471335888,36.9
411,"Muskogee, OK",152,-0.7720805163399516,21.94
412,"Enid, OK",176,-0.689029929743804,25.68
413,"Ardmore, OK",185,-0.9038547524833936,18.03
414,"Weatherford, OK",146,-1.2278974128130349,8.67
415,"Oklahoma, OK",265,0.445513116092288,72.28
416,"Wichita Falls, TX",178,-0.5616507794156885,31.12
417,"Miami, OK",185,-0.5521729004897817,32.31
418,"Tulsa, OK",301,0.9156486650338735,82.48
419,"Woodward, OK",135,-1.6243185369933986,1.87
420,"Altus, OK",102,-1.343759728761995,6.12
421,"McAlester, OK",162,-1.048691553358049,13.95
422,"Stillwater, OK",171,-0.5597760546787756,31.8
423,"Dallas, TX",361,2.1847933684988603,96.6
424,"Guymon, OK",103,-1.8675954360865408,0.51
425,"La Grande, OR",163,-0.518401213541671,33.5
426,"Eugene, OR",282,0.705748799327132,78.91
427,"Portland, OR-WA",348,1.643734438286257,93.37
428,"Aberdeen, WA",179,0.19005866473149383,62.93
429,"Roseburg, OR",197,-0.18457875630554832,47.79
430,"Bend, OR",281,1.0907265739419465,85.88
431,"Condon, OR",95,-0.2910147206968282,44.05
432,"John Day, OR",95,-0.40816063452929874,38.1
433,"Burns, OR",95,-0.7343097234046037,23.47
434,"The Dalles, OR",181,0.0358557515964587,57.14
435,"Medford, OR",261,0.44496544332217175,72.11
436,"Lakeview, OR",85,-1.4539292361437153,4.25
437,"Newport, OR",147,0.3923286643167772,70.58
438,"Kennewick--Richland--Pasco, WA",184,-0.13387118658693534,50.85
439,"Enterprise, OR",142,0.30916626367827427,67.86
440,"Harrisburg, PA",343,0.7080261505789742,79.08
441,"Pittsburgh, PA",312,1.0694317440319774,85.03
442,"Altoona, PA",279,-0.16257810886507237,48.64
443,"Allentown--Bethlehem, PA-NJ",290,0.9691981035625743,83.16
444,"Williamsport, PA",271,-0.11607306903192816,51.7
445,"Bradford, PA-NY",195,-0.543348084997942,32.82
446,"State College, PA",187,-0.06287972300769522,53.57
447,"Scranton, PA",268,0.48996008368172383,72.96
448,"Greenville, SC",303,0.9460167933083368,82.82
449,"Hilton Head Island, SC",230,0.8571637296015913,81.8
450,"Columbia, SC",292,0.8439442146839093,81.46
451,"Charleston, SC",302,1.419939841165692,91.5
452,"Myrtle Beach--North Myrtle Beach, SC-NC",288,0.6397360929470775,77.21
453,"Mitchell, SD",161,-0.8251052184679496,20.58
454,"Brookings, SD",177,-0.6185658969747293,28.4
455,"Aberdeen, SD",163,-0.8488989074424175,19.56
456,"Chamberlain, SD",82,-1.6711141380285595,1.53
457,"Rapid, SD",263,0.232282017117019,64.63
458,"Parkston, SD",105,-1.2672329425685862,7.65
459,"North Eagle Butte, SD",64,-1.3231491020809436,6.63
460,"Winner, SD",106,-1.0436220579712499,14.12
461,"Philip, SD",76,-1.051112324900456,13.78
462,"Buffalo, SD",49,-1.4495497479048405,4.42
463,"Pierre, SD",131,-0.3618921922481496,39.46
464,"Knoxville, TN",280,1.002384265723677,83.84
465,"Murfreesboro, TN",266,0.6527496040750098,77.55
