industry_code,industry_description,industry_employment_share_nation
336991,"Motorcycle, Bicycle, and Parts Manufacturing",5.910816291301915e-5
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",4.991266745983886e-5
336999,All Other Transportation Equipment Manufacturing,1.222146167373712e-4
337110,Wood Kitchen Cabinet and Countertop Manufacturing,7.306890981533036e-4
337121,Upholstered Household Furniture Manufacturing,2.7521664713489125e-4
337122,Nonupholstered Wood Household Furniture Manufacturing,1.7162821488690022e-4
337126,Household Furniture (except Wood and Upholstered) Manufacturing,5.861483003156344e-5
337127,Institutional Furniture Manufacturing,1.374218896296862e-4
337211,Wood Office Furniture Manufacturing,8.722813715599468e-5
337212,Custom Architectural Woodwork and Millwork Manufacturing,1.695458912128488e-4
337214,Office Furniture (except Wood) Manufacturing,1.0830377676609099e-4
337215,"Showcase, Partition, Shelving, and Locker Manufacturing",2.2386413603266424e-4
337910,Mattress Manufacturing,1.1449338349970392e-4
337920,Blind and Shade Manufacturing,5.219002971493092e-5
339112,Surgical and Medical Instrument Manufacturing,8.172403367045102e-4
339113,Surgical Appliance and Supplies Manufacturing,5.88746902586558e-4
339114,Dental Equipment and Supplies Manufacturing,9.770859267250147e-5
339115,Ophthalmic Goods Manufacturing,1.3942390329977974e-4
339116,Dental Laboratories,2.838499725603662e-4
339910,Jewelry and Silverware Manufacturing,1.525316432314809e-4
339920,Sporting and Athletic Goods Manufacturing,2.8515787833910926e-4
339930,"Doll, Toy, and Game Manufacturing",8.068860826227944e-5
339940,Office Supplies (except Paper) Manufacturing,6.087498300009309e-5
339950,Sign Manufacturing,5.164047983070468e-4
